Title,Company,Url,Date,Applicants,City,Province,Country
Backend Developer,Sync.com,https://ca.linkedin.com/jobs/view/backend-developer-at-sync-com-4145721204?position=4&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=oCNfSHmxv%2FbZgVOA5%2FgKsQ%3D%3D,2025-02-07,0,North York,Ontario,Canada
Software Engineer - Backend (US/Canada),Speedy Labs,https://ca.linkedin.com/jobs/view/software-engineer-backend-us-canada-at-speedy-labs-4018430228?position=5&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=SlVNmK5WBhfmpRFdJDMInQ%3D%3D,2024-09-06,0,Toronto,Ontario,Canada
Full Stack Developer- Python,Tata Consultancy Services,https://ca.linkedin.com/jobs/view/full-stack-developer-python-at-tata-consultancy-services-4138157967?position=6&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=7SvZK8qQLoZ5lsEotK%2Bt%2FA%3D%3D,2025-01-29,0,Toronto,Ontario,Canada
Senior Python Developer (AWS) - (Hybrid),Techedin,https://ca.linkedin.com/jobs/view/senior-python-developer-aws-hybrid-at-techedin-4106900639?position=7&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=ExsUkl%2BzH3nga5RJLi049Q%3D%3D,2024-12-20,0,Toronto,Ontario,Canada
Python/AWS Developer,Algobrain,,2025-01-14,0,Toronto,Ontario,Canada
"Backend Software Engineer, AI Platform",EvenUp,https://ca.linkedin.com/jobs/view/backend-software-engineer-ai-platform-at-evenup-4144342394?position=9&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=%2BWHLdrghwnkewZ55apIIoA%3D%3D,2025-02-05,0,Toronto,Ontario,Canada
Back End Developer,Yoush Consulting,https://ca.linkedin.com/jobs/view/back-end-developer-at-yoush-consulting-4068236117?position=10&pageNum=1&refId=ZQHLtFid9%2BkzHvCfHAdQFA%3D%3D&trackingId=J0cdZW4wcVoT%2FDkeJFizQg%3D%3D,2024-11-04,0,Toronto,Ontario,Canada
Senior Python Developer,RBC,https://ca.linkedin.com/jobs/view/senior-python-developer-at-rbc-4144443006?position=1&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=dvyal%2BF5DeyJ1DQ%2BFZpQ0g%3D%3D,2025-02-05,0,Toronto,Ontario,Canada
Senior Full Stack (Python) Engineer,Paymentus,https://ca.linkedin.com/jobs/view/senior-full-stack-python-engineer-at-paymentus-4160531742?position=2&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=QiuwM4PiLpwp9DvcMaApzg%3D%3D,2025-02-20,0,Toronto,Ontario,Canada
Senior Python Developer,Creative Clicks,https://ca.linkedin.com/jobs/view/senior-python-developer-at-creative-clicks-4071674848?position=4&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=LLtJvUA%2BeGd7K0dtOGk%2BgQ%3D%3D,2024-11-07,0,Toronto,Ontario,Canada
Java+Python Developer,EPAM Systems,https://ca.linkedin.com/jobs/view/java%2Bpython-developer-at-epam-systems-4138065919?position=5&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=5Xh5vJvcFVIHRV0y%2BHz6gw%3D%3D,2025-02-19,0,Toronto,Ontario,Canada
Web Software Developer,Sync.com,https://ca.linkedin.com/jobs/view/web-software-developer-at-sync-com-4120962885?position=6&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=C%2FJHE%2FULZFvItZDX0Xy6NQ%3D%3D,2025-01-09,0,North York,Ontario,Canada
Senior Python Developer,Algobrain,,2024-12-21,0,Toronto,Ontario,Canada
"Software Engineer I, Backend (ML Platform)",Affirm,https://ca.linkedin.com/jobs/view/software-engineer-i-backend-ml-platform-at-affirm-4120708154?position=8&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=B8Nv2NqMjjcIBbAZOoGpzg%3D%3D,2025-02-07,0,Toronto,Ontario,Canada
"Software Developer, DeployX",Robinhood,https://ca.linkedin.com/jobs/view/software-developer-deployx-at-robinhood-4134561916?position=9&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=xj%2B%2FJ%2BQr84IvsPud266Yxg%3D%3D,2025-02-16,0,Toronto,Ontario,Canada
Full Stack Engineer,GalaxE.Solutions,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-galaxe-solutions-4156635533?position=10&pageNum=2&refId=7RB5a%2BZY6M2629Pj3zdwYg%3D%3D&trackingId=rYDT8qj7LRx73SSMPIN5rQ%3D%3D,2025-02-17,0,Toronto,Ontario,Canada
Back End Developer,Pine,https://ca.linkedin.com/jobs/view/back-end-developer-at-pine-4143826281?position=1&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=E%2FKRCnc1Nod1IqsT86wT7Q%3D%3D,2025-02-04,0,Toronto,Ontario,Canada
Sr. Python Developer,UST,https://ca.linkedin.com/jobs/view/sr-python-developer-at-ust-4115307506?position=2&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=v%2BUJHXBCEzLmIzDqlj%2BL7w%3D%3D,2025-02-11,0,Toronto,Ontario,Canada
"Software Engineer Intern, Backend - Toronto (Summer 2025)",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-intern-backend-toronto-summer-2025-at-lyft-4019388184?position=3&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=I%2FWxpp2ITopyD9WPJ98Wkw%3D%3D,2025-02-11,0,Toronto,Ontario,Canada
Back End Developer,JAM CRM,https://ca.linkedin.com/jobs/view/back-end-developer-at-jam-crm-4143842764?position=4&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=mGeftMLqXwm3hAszhhvg5w%3D%3D,2025-02-04,0,Toronto,Ontario,Canada
Back End Developer,Gruve,https://ca.linkedin.com/jobs/view/back-end-developer-at-gruve-4150713463?position=5&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=DrWbuFVWyjmStF6iqZ3%2BnA%3D%3D,2025-02-13,0,Toronto,Ontario,Canada
Senior Software Engineer II (Python),Emburse,https://ca.linkedin.com/jobs/view/senior-software-engineer-ii-python-at-emburse-4017873924?position=6&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=LYfUayWqHOCEZtU4y%2F%2BuvQ%3D%3D,2025-02-19,0,Toronto,Ontario,Canada
Full Stack Engineer,LotusFlare,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-lotusflare-4037214059?position=7&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=tIyOmBY%2BqBnAoJ37MK7pFw%3D%3D,2024-09-28,0,Toronto,Ontario,Canada
Full Stack Engineer,Luxoft,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-luxoft-4157356884?position=8&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=tMZwisqfBK39rxwlwtQx2g%3D%3D,2025-02-17,0,Toronto,Ontario,Canada
Software Engineer - Python - Container Images,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4139270382?position=9&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=ZgRsYmrhScZSCp53Eur%2FCQ%3D%3D,2025-01-30,0,Toronto,Ontario,Canada
Python/R Bioinformatician Developer,Groupe SII,https://ca.linkedin.com/jobs/view/python-r-bioinformatician-developer-at-groupe-sii-4124842535?position=10&pageNum=3&refId=GA6ygHM5yVvxl%2BIPzSDOgQ%3D%3D&trackingId=5cbhWH0F2ns%2Fhse2rDWuzw%3D%3D,2025-01-15,0,Toronto,Ontario,Canada
Software Engineer - Python - Container Images,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4139270382?position=1&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=2MceqAm8Jq5%2BNOcBr36Glg%3D%3D,2025-01-30,0,Toronto,Ontario,Canada
Python/R Bioinformatician Developer,Groupe SII,https://ca.linkedin.com/jobs/view/python-r-bioinformatician-developer-at-groupe-sii-4124842535?position=2&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=eUmk23G2EL7FXA6v6VgEGw%3D%3D,2025-01-15,0,Toronto,Ontario,Canada
"Backend Software Engineer, AI Document Generation",EvenUp,https://ca.linkedin.com/jobs/view/backend-software-engineer-ai-document-generation-at-evenup-4161842277?position=3&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=JqnklgUC4gu050%2BmMgeekA%3D%3D,2025-02-22,0,Toronto,Ontario,Canada
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-4099117288?position=4&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=%2B7xIXzYaNZI017Mp8vKc7Q%3D%3D,2024-12-14,0,Toronto,Ontario,Canada
Full Stack Engineer - Summer Intern 2025,EQ Bank | Equitable Bank,https://ca.linkedin.com/jobs/view/full-stack-engineer-summer-intern-2025-at-eq-bank-equitable-bank-4161535022?position=5&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=A6nzuB4JDrkkqrdZCGOsFQ%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
Full Stack Engineer,Nautical Commerce,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-nautical-commerce-4161848204?position=6&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=0gMc0Jwbwe7xuj2rKZjdiw%3D%3D,2025-02-22,0,Toronto,Ontario,Canada
Intermediate Full Stack Developer,Method CRM,https://ca.linkedin.com/jobs/view/intermediate-full-stack-developer-at-method-crm-4167264084?position=7&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=Cfa974wBsOj%2Bk%2FVwqemuGw%3D%3D,2025-02-24,0,Toronto,Ontario,Canada
Full Stack Software Developer,OmniUpdate (Now Modern Campus),https://ca.linkedin.com/jobs/view/full-stack-software-developer-at-omniupdate-now-modern-campus-4150559144?position=8&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=QCZnJNewGe7T58CP09W6oA%3D%3D,2025-02-13,0,Toronto,Ontario,Canada
Senior Software Engineer (Python),Plusgrade,https://ca.linkedin.com/jobs/view/senior-software-engineer-python-at-plusgrade-4138205299?position=9&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=SdxLb3KTG3NxxAHLMOY55A%3D%3D,2025-02-06,0,Toronto,Ontario,Canada
Full Stack Engineer,Luxoft,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-luxoft-4157357647?position=10&pageNum=4&refId=3WAnz4NaEZZIZYjLoGLN5w%3D%3D&trackingId=A6j%2B%2FzDxfyXNVePttV2lAg%3D%3D,2025-02-17,0,Toronto,Ontario,Canada
Software Engineer (Full Stack),Citylitics Inc.,https://ca.linkedin.com/jobs/view/software-engineer-full-stack-at-citylitics-inc-4161822092?position=1&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=dLEcP0h6esGpltUQscpV2Q%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
Senior Python Developer,First Derivative,https://ca.linkedin.com/jobs/view/senior-python-developer-at-first-derivative-4042109226?position=2&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=ZAL%2Beb5Wm5dsvp5jLqcU%2BA%3D%3D,2025-01-27,0,Toronto,Ontario,Canada
Python/R Bioinformatician Developer,SII Canada,https://ca.linkedin.com/jobs/view/python-r-bioinformatician-developer-at-sii-canada-4124859003?position=3&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=AWnm0CzUWiA3lgJADsrvjQ%3D%3D,2025-02-08,0,Toronto,Ontario,Canada
Backend Engineer - Toronto,Integral,https://ca.linkedin.com/jobs/view/backend-engineer-toronto-at-integral-4124901008?position=4&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=IdmTs3pmU7wJ6mLrLlsKow%3D%3D,2025-01-15,0,Toronto,Ontario,Canada
Senior Backend Software Engineer - Python,Ouster,https://ca.linkedin.com/jobs/view/senior-backend-software-engineer-python-at-ouster-4151472222?position=5&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=mpHqQnF6AGaZi1YfGV63YQ%3D%3D,2025-02-12,0,Toronto,Ontario,Canada
Backend Developer,J&M Group,https://ca.linkedin.com/jobs/view/backend-developer-at-j-m-group-3987368944?position=6&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=qy4Eh2vBcE7YIvL%2FZsO27w%3D%3D,2024-07-30,0,Toronto,Ontario,Canada
Senior Software Engineer (Full-Stack),Lithos Carbon,https://ca.linkedin.com/jobs/view/senior-software-engineer-full-stack-at-lithos-carbon-4152292288?position=7&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=Lx96b6%2Bo71U67vjF3eyAvA%3D%3D,2025-01-20,0,Toronto,Ontario,Canada
Full-Stack Software Engineer,Medsender,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-at-medsender-4138517727?position=8&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=tKHCaa3TU51HK8ekYN5KdQ%3D%3D,2025-01-30,0,Toronto,Ontario,Canada
Junior Web Developer (4 month Co-op contract),"Osler, Hoskin & Harcourt LLP",https://ca.linkedin.com/jobs/view/junior-web-developer-4-month-co-op-contract-at-osler-hoskin-harcourt-llp-4150387588?position=9&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=gksP27Bh9MPz8k5J%2FHUQww%3D%3D,2025-02-11,0,Toronto,Ontario,Canada
Web Developer (Full-Time),Tyndale University,https://ca.linkedin.com/jobs/view/web-developer-full-time-at-tyndale-university-4153883926?position=10&pageNum=5&refId=bAafW0y1aOvqMLISaxJ9rQ%3D%3D&trackingId=Iz2T%2FpzoaNAYeoxvZ5VxCg%3D%3D,2025-01-30,0,Toronto,Ontario,Canada
Web Developer,Connexall,https://ca.linkedin.com/jobs/view/web-developer-at-connexall-4145128957?position=1&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=rDBbvJD3OlDhuISSr9e3ng%3D%3D,2025-02-06,0,North York,Ontario,Canada
"Software Engineer, Backend (Migrations) - Toronto, New York, NY",Cockroach Labs,https://ca.linkedin.com/jobs/view/software-engineer-backend-migrations-toronto-new-york-ny-at-cockroach-labs-3993604824?position=2&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=EHRckOf4YOL3uPbHaFGpPg%3D%3D,2025-02-14,0,Toronto,Ontario,Canada
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,https://ca.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-ai-ml-analytics-at-canonical-4148911487?position=3&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=T0Tf8vc%2Btzpj6DerwPvchQ%3D%3D,2025-02-12,0,Toronto,Ontario,Canada
Full Stack Developer - Canada Remote (10),Yoush Consulting,https://ca.linkedin.com/jobs/view/full-stack-developer-canada-remote-10-at-yoush-consulting-4068229745?position=4&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=MBqlktRSwQRQKE64d287%2Bw%3D%3D,2024-11-04,0,Toronto,Ontario,Canada
Software Engineer - Python/Golang - Kubernetes,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-golang-kubernetes-at-canonical-4131922148?position=5&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=gSQrdPnh3NSsjHFodQ98AQ%3D%3D,2025-01-22,0,Toronto,Ontario,Canada
Software Engineer - Python - Container Images,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4138529493?position=6&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=zJipN%2BwD4dDqFmJx8PKQAw%3D%3D,2025-01-31,0,Toronto,Ontario,Canada
Senior Backend Engineer,NimbleRx,https://ca.linkedin.com/jobs/view/senior-backend-engineer-at-nimblerx-4161202936?position=7&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=oUbc6UFFRhwpkpHvAGMYuQ%3D%3D,2025-01-27,0,Toronto,Ontario,Canada
Full-Stack Software Engineer,FirstPrinciples,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-at-firstprinciples-3958007467?position=8&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=HiaL%2FiJpst%2FEsVhh41xhYA%3D%3D,2024-06-24,0,Toronto,Ontario,Canada
Front End Web Developer,Shift4,https://ca.linkedin.com/jobs/view/front-end-web-developer-at-shift4-4160584953?position=9&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=NvXqRkcCNk0CX82Ak5pGvA%3D%3D,2025-02-20,0,Toronto,Ontario,Canada
Full Stack Engineer,Mark43,https://ca.linkedin.com/jobs/view/full-stack-engineer-at-mark43-4068120006?position=10&pageNum=6&refId=RRQXS%2FvjaGtPvl7ZiD9dJA%3D%3D&trackingId=Nml3yp8wGmipYZT0CcEY4g%3D%3D,2024-11-04,0,Toronto,Ontario,Canada
"Full Stack Engineer, Revenue Recognition",Stripe,https://ca.linkedin.com/jobs/view/full-stack-engineer-revenue-recognition-at-stripe-4128638773?position=1&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=lIaPwog3yIGNIt7zJMTUiA%3D%3D,2025-02-15,0,Toronto,Ontario,Canada
Full Stack Platform Engineer,Parallelz,https://ca.linkedin.com/jobs/view/full-stack-platform-engineer-at-parallelz-4157902590?position=2&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=qC8cgJCStt7suMuyBOLMVQ%3D%3D,2025-02-18,0,Toronto,Ontario,Canada
Web Developer,Saatchi & Saatchi,https://ca.linkedin.com/jobs/view/web-developer-at-saatchi-saatchi-4114864846?position=3&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=ep8lcEwoYoIVbRCuAdnXDQ%3D%3D,2025-01-31,0,Toronto,Ontario,Canada
Software Engineer - Python and K8s,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-4127925417?position=4&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=oBInG%2F7sgRBceCuSVz13dg%3D%3D,2025-01-17,0,Toronto,Ontario,Canada
"Backend Engineer, Connections",Stripe,https://ca.linkedin.com/jobs/view/backend-engineer-connections-at-stripe-4083566230?position=5&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=GqvrQPipNH%2BJWd%2BurRonMA%3D%3D,2025-02-15,0,Toronto,Ontario,Canada
Senior Python Developer w/Angular,Algobrain,,2025-01-23,0,Toronto,Ontario,Canada
"Full Stack Engineer, Developer Experience & Product Platform",Stripe,https://ca.linkedin.com/jobs/view/full-stack-engineer-developer-experience-product-platform-at-stripe-4161224526?position=7&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=LQKvblpIABwkcFBcNZniXA%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
Software Engineer - Python - Container Images,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4117657491?position=8&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=SbHhYz4t3H%2FZ8RyGCzlQhg%3D%3D,2025-01-06,0,Toronto,Ontario,Canada
Python/Angular Developer,EPAM Systems,https://ca.linkedin.com/jobs/view/python-angular-developer-at-epam-systems-4138065913?position=9&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=%2F3%2BDuIBPO%2FHO6HAid7sBfg%3D%3D,2025-02-19,0,Toronto,Ontario,Canada
Python Developer with AWS,Luxoft,https://ca.linkedin.com/jobs/view/python-developer-with-aws-at-luxoft-4161475734?position=10&pageNum=7&refId=UxgEF5CfB4WZ2DyrvvEwLQ%3D%3D&trackingId=pg5AyF3jnXKHkm7F%2BI8D4A%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
"Full Stack Engineer, Developer Experience & Product Platform",Stripe,https://ca.linkedin.com/jobs/view/full-stack-engineer-developer-experience-product-platform-at-stripe-4161224526?position=1&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=CRA3du%2BtfSYw%2BldbBRYxIA%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
Software Engineer - Python - Container Images,Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4117657491?position=2&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=wHt8Te9HhN1bC7CM%2FKlbWA%3D%3D,2025-01-06,0,Toronto,Ontario,Canada
Python/Angular Developer,EPAM Systems,https://ca.linkedin.com/jobs/view/python-angular-developer-at-epam-systems-4138065913?position=3&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=nXjCS9L02KH%2B4mghV5IyrA%3D%3D,2025-02-19,0,Toronto,Ontario,Canada
Python Developer with AWS,Luxoft,https://ca.linkedin.com/jobs/view/python-developer-with-aws-at-luxoft-4161475734?position=4&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=rIhqO1675iDHhhIj6P57HQ%3D%3D,2025-02-21,0,Toronto,Ontario,Canada
Backend Engineer,Ideogram,https://ca.linkedin.com/jobs/view/backend-engineer-at-ideogram-4079860222?position=5&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=yJfWufZGDnUdQ7X9zb97yg%3D%3D,2025-02-17,0,Toronto,Ontario,Canada
Software Engineer (Python/Linux/Packaging),Canonical,https://ca.linkedin.com/jobs/view/software-engineer-python-linux-packaging-at-canonical-4125121459?position=6&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=ydRjUmjADkl8zfpQZj9AVw%3D%3D,2025-01-15,0,Toronto,Ontario,Canada
Full stack developer,J&M Group,https://ca.linkedin.com/jobs/view/full-stack-developer-at-j-m-group-4149395688?position=7&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=mfVcUrbtv4qMbRFb1BaXjQ%3D%3D,2025-02-11,0,Toronto,Ontario,Canada
Senior BackEnd Engineer,VendorPM,https://ca.linkedin.com/jobs/view/senior-backend-engineer-at-vendorpm-4157893222?position=8&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=73Df4%2FSfjohM%2B4qAL%2F2WOw%3D%3D,2025-02-18,0,Toronto,Ontario,Canada
Senior Frontend Engineer - HTS / Stays (100% remote),Hopper,https://ca.linkedin.com/jobs/view/senior-frontend-engineer-hts-stays-100%25-remote-at-hopper-4146310520?position=9&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=RhcK6YutkrxreLwRMddkMw%3D%3D,2025-02-05,0,Toronto,Ontario,Canada
Backend Engineer,SherpaÂ°,https://ca.linkedin.com/jobs/view/backend-engineer-at-sherpa%C2%B0-4157902710?position=10&pageNum=8&refId=%2F1qOcOG%2FK7Zy111VQ%2FhzhQ%3D%3D&trackingId=z%2FF3yccWkbhsNmsGyhHHGQ%3D%3D,2025-02-18,0,Toronto,Ontario,Canada
